year,day,dayTran,time,lat,long,mag,deep,location
2017,6/21,42907,9:05:21,26.17,100.56,2.8,9,云南丽江市永胜县
2017,6/21,42907,15:25:38,24.72,121.84,3.9,11,台湾宜兰县海域
2017,6/21,42907,22:17:01,31.03,103.23,2.9,18,四川阿坝州汶川县
2017,6/22,42908,3:41:08,38.4,73.48,4.7,15,塔吉克斯坦
2017,6/22,42908,11:57:45,36.46,83.82,3.1,7,新疆和田地区民丰县
2017,6/22,42908,20:31:03,13.75,-91,6.8,40,危地马拉沿岸近海
2017,6/23,42909,15:58:30,41.31,83.7,3,9,新疆阿克苏地区库车县
2017,6/24,42910,20:08:58,23.74,103.33,3.2,8,云南红河州开远市
2017,6/25,42911,3:47:05,37.23,77.86,3.3,8,新疆和田地区皮山县
2017,6/25,42911,5:45:27,33.07,94.12,3.1,10,青海玉树州杂多县
2017,6/25,42911,11:23:15,41.3,83.85,3.3,15,新疆阿克苏地区库车县
2017,6/26,42912,8:39:43,39.65,73.54,4,7,吉尔吉斯斯坦
2017,6/26,42912,8:47:43,28.16,104.67,3.6,14,四川宜宾市筠连县
2017,6/26,42912,15:35:49,36.43,83.9,3.3,7,新疆和田地区民丰县
2017,6/26,42912,19:31:59,41.86,79.33,3,8,吉尔吉斯斯坦
2017,6/28,42914,18:39:41,42.2,81.71,3,8,新疆阿克苏地区拜城县
2017,6/29,42915,3:46:51,40.25,77.76,3.1,7,新疆克孜勒苏州阿图什市
2017,6/30,42916,7:07:11,39.36,73.27,3,9,吉尔吉斯斯坦
2017,6/30,42916,22:36:03,44.89,81.66,3,20,新疆博尔塔拉州博乐市
2017,7/1,42917,6:29:42,-0.26,-80.46,6,10,厄瓜多尔沿岸近海
2017,7/2,42918,3:40:57,27.08,103.24,2.9,8,云南昭通市巧家县
2017,7/2,42918,5:59:55,23.23,101.38,2.9,5,云南普洱市墨江县
2017,7/2,42918,9:58:26,27.23,86.4,4.2,10,尼泊尔
2017,7/2,42918,14:34:56,25.12,101.71,4.1,5,云南楚雄州禄丰县
2017,7/2,42918,21:01:46,31.89,94.96,3.3,7,西藏昌都市丁青县
2017,7/3,42919,18:04:27,43.98,87.07,3.1,7,新疆昌吉州昌吉市
2017,7/4,42920,9:03:26,46.55,119.16,3.3,15,内蒙古锡林郭勒盟东乌珠穆沁旗
2017,7/4,42920,12:25:20,39.45,73.25,3.9,8,吉尔吉斯斯坦
2017,7/4,42920,13:24:40,39.48,118.4,2.2,5,河北唐山市丰南区
2017,7/4,42920,23:39:50,39.29,118.83,2.5,18,河北唐山市乐亭县
2017,7/6,42922,16:03:57,11.18,124.65,6.6,10,菲律宾
2017,7/7,42923,22:54:28,37.49,78.06,3,20,新疆和田地区皮山县
2017,7/9,42925,3:40:41,43.77,87.64,2.8,6,新疆乌鲁木齐市天山区(有感)
2017,7/9,42925,15:59:49,29.09,95.8,3.9,7,西藏林芝市墨脱县
2017,7/10,42926,2:09:19,27.07,102.27,2.9,10,四川凉山州会理县
2017,7/10,42926,3:33:42,39.65,82.76,3.2,15,新疆阿克苏地区沙雅县
2017,7/11,42927,6:05:34,38.94,75.46,3.8,8,新疆克孜勒苏州阿克陶县
